order_id,order_created,order_grand_total,order_shipping_charge,order_item_total_price
1798218,2015-10-01 03:24:16,54.45,4.95,45.0
1798219,2015-10-01 03:24:29,54.02999999999999,0.0,0.0
1798220,2015-10-01 03:24:38,51.0,0.0,60.0
1798221,2015-10-01 03:24:42,38.2,4.95,35.0
1798222,2015-10-01 03:24:42,63.75,0.0,75.0
1798223,2015-10-01 03:25:29,96.34,12.5,76.5
1798224,2015-10-01 03:25:53,34.95,4.95,30.0
1798225,2015-10-01 03:26:05,0.0,0.0,0.0
1798226,2015-10-01 03:26:10,9.81,0.0,9.0
1798227,2015-10-01 03:26:21,27.0,0.0,30.0
1798228,2015-10-01 03:26:39,116.88,7.25,99.0
1798229,2015-10-01 03:27:45,62.0,0.0,62.0
1798230,2015-10-01 03:27:50,40.5,0.0,45.0
1798231,2015-10-01 03:28:15,48.26,0.0,45.0
1798232,2015-10-01 03:30:03,21.4,0.0,20.0
1798233,2015-10-01 03:32:27,211.8600000000001,0.0,198.0
1798234,2015-10-01 03:33:34,183.32999999999996,4.950000000000001,168.0
1798235,2015-10-01 03:34:02,22.0,0.0,22.0
1798236,2015-10-01 03:34:49,66.18,5.95,55.0
1798237,2015-10-01 03:37:45,161.70000000000002,6.0,155.70000000000002
1798238,2015-10-01 03:38:16,0.0,0.0,58.0
1798239,2015-10-01 03:38:25,0.0,0.0,0.0
1798240,2015-10-01 03:38:49,43.0,0.0,43.0
1798241,2015-10-01 03:39:11,59.9,5.95,62.5
1798242,2015-10-01 03:39:39,70.0,10.0,60.0
1798243,2015-10-01 03:42:24,131.44000000000003,4.0,119.10000000000001
1798244,2015-10-01 03:42:32,83.95,5.95,78.0
1798245,2015-10-01 03:42:49,0.0,0.0,0.0
1798246,2015-10-01 03:43:06,24.0,0.0,24.0
1798247,2015-10-01 03:43:31,45.0,0.0,50.0
1798248,2015-10-01 03:43:32,200.87000000000026,3.5,186.0
1798249,2015-10-01 03:43:49,27.53,4.15,22.0
1798250,2015-10-01 03:45:40,40.76,0.0,38.0
1798251,2015-10-01 03:46:15,0.0,0.0,0.0
1798252,2015-10-01 03:47:00,27.0,0.0,30.0
1798253,2015-10-01 03:47:20,114.28999999999999,4.0,115.9
1798254,2015-10-01 03:47:36,103.45,8.95,94.5
1798255,2015-10-01 03:48:37,67.71,4.95,60.0
1798256,2015-10-01 03:49:59,968.52,0.0,900.0
1798257,2015-10-01 03:53:24,107.0,0.0,107.0
1798258,2015-10-01 03:55:09,0.0,0.0,0.0
1798259,2015-10-01 03:55:12,0.0,0.0,25.0
1798260,2015-10-01 03:56:05,0.0,0.0,0.0
1798261,2015-10-01 03:56:43,48.41,6.0,39.0
1798262,2015-10-01 03:56:55,66.0,6.0,60.0
1798263,2015-10-01 03:57:08,381.68,0.0,500.0
1798264,2015-10-01 03:58:00,41.0,6.0,35.0
1798265,2015-10-01 03:58:07,0.0,0.0,0.0
1798266,2015-10-01 03:58:44,36.79,4.15,32.64
1798267,2015-10-01 03:59:04,139.28000000000006,4.0,149.79
